time,value
1/1/99,30.052513
4/1/99,19.148496
7/1/99,25.317692
10/1/99,27.591437
1/1/00,32.076456
4/1/00,23.487961
7/1/00,28.47594
10/1/00,35.123753
1/1/01,36.838485
4/1/01,25.007017
7/1/01,30.72223
10/1/01,28.693759
1/1/02,36.640986
4/1/02,23.824609
7/1/02,29.311683
10/1/02,31.770309
1/1/03,35.177877
4/1/03,19.775244
7/1/03,29.60175
10/1/03,34.538842
1/1/04,41.273599
4/1/04,26.655862
7/1/04,28.279859
10/1/04,35.191153
1/1/05,42.20566386
4/1/05,24.64917133
7/1/05,32.66733514
10/1/05,37.25735401
1/1/06,45.24246027
4/1/06,29.35048127
7/1/06,36.34420728
10/1/06,41.78208136
1/1/07,49.27659843
4/1/07,31.27540139
7/1/07,37.85062549
10/1/07,38.83704413
1/1/08,51.23690034
4/1/08,31.83855162
7/1/08,41.32342126
10/1/08,42.79900337
1/1/09,55.70835836
4/1/09,33.40714492
7/1/09,42.31663797
10/1/09,45.15712257
1/1/10,59.57607996
4/1/10,34.83733016
7/1/10,44.84168072
10/1/10,46.9712496
1/1/11,60.01903094
4/1/11,38.37117851
7/1/11,46.97586413
10/1/11,50.73379646
1/1/12,61.64687319
4/1/12,39.29956937
7/1/12,52.67120908
10/1/12,54.33231689
1/1/13,66.83435838
4/1/13,40.87118847
7/1/13,51.82853579
10/1/13,57.49190993
1/1/14,65.25146985
4/1/14,43.06120822
7/1/14,54.76075713
10/1/14,59.83447494
1/1/15,73.25702747
4/1/15,47.69662373
7/1/15,61.09776802
10/1/15,66.05576122
